expected_paper_id,expected_title,rejected_file,reason,recommended_action
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_1.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_10.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_11.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_12.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_2.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_3.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_4.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_5.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_6.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_7.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_8.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-013,Essential metabolism for a minimal cell,WCM-013_2019_Essential_metabolism_for_a_minimal_cell_9.pdf,Patent or non-article legal document,Replace with the full validated article PDF or keep quarantined.
WCM-031,Entropy as the driver of chromosome segregation,WCM-031_2010_Entropy_as_the_driver_of_chromosome_segregation.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-031,Entropy as the driver of chromosome segregation,WCM-031_2010_Entropy_as_the_driver_of_chromosome_segregation_1.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_1.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_10.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_11.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_12.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_2.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_3.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_4.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_5.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_6.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_7.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_8.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
WCM-040,Spatial organization of the flow of genetic information in bacteria,WCM-040_2010_Spatial_organization_of_the_flow_of_genetic_information_in_bacteria_9.pdf,Supplementary-only PDF,Replace with the full validated article PDF or keep quarantined.
